#  STM32H7B3  This was auto-generated by make-af-csv.py
Port ,Pin  ,AF0              ,AF1                ,AF2                ,AF3                                  ,AF4                                             ,AF5                          ,AF6                                        ,AF7                                        ,AF8                                    ,AF9                                      ,AF10                                     ,AF11                                                                 ,AF12                             ,AF13                           ,AF14     ,AF15    ,ADC                    ,SYS
     ,     ,DEBUG/MCO/PWR/RTC,LPTIM1/TIM1/2/16/17,SAI1/TIM3/4/5/12/15,DFSDM1/LPTIM2/3/LPUART1/OCTOSPIM/TIM8,CEC/DFSDM1/2/I2C1/2/3/4/LPTIM2/PSSI/TIM15/USART1,CEC/I2S1/2/3/6/SPI1/2/3/4/5/6,DFSDM1/2/I2C4/I2S3/OCTOSPIM/SAI1/SPI3/UART4,I2S2/3/6/SDMMC1/SPI2/3/6/UART7/USART1/2/3/6,I2S6/LPUART1/SAI2/SDMMC1/SPI6/UART4/5/8,FDCAN1/2/FMC/LCD/OCTOSPIM/SDMMC2/TIM13/14,CRS/FMC/LCD/OCTOSPIM/SAI2/SDMMC2/TIM8/USB,DFSDM1/2/I2C4/LCD/MDIOS/OCTOSPIM/SDMMC2/SWPMI1/TIM1/8/UART7/9/USART10,FMC/LCD/MDIOS/SDMMC1/TIM1/8      ,COMP1/2/DCMI/LCD/PSSI/TIM1     ,LCD/UART5,EVENTOUT,ADC                    ,DAC1/2/OSC1/32/PWR/RTC/USB
PortA,PA0  ,                 ,TIM2_CH1_ETR       ,TIM5_CH1           ,TIM8_ETR                             ,TIM15_BKIN                                      ,SPI6_NSS/I2S6_WS             ,                                           ,USART2_CTS/USART2_NSS                      ,UART4_TX                               ,SDMMC2_CMD                               ,SAI2_SD_B                                ,                                                                     ,                                 ,                               ,         ,EVENTOUT,ADC1_INP16             ,PWR_WKUP1
PortA,PA0_C,                 ,                   ,                   ,                                     ,                                                ,                             ,                                           ,                                           ,                                       ,                                         ,                                         ,                                                                     ,                                 ,                               ,         ,        ,ADC1_INP0/ADC1_INN1    ,
PortA,PA0_C,                 ,                   ,                   ,                                     ,                                                ,                             ,                                           ,                                           ,                                       ,                                         ,                                         ,                                                                     ,                                 ,                               ,         ,        ,ADC1_INP0/ADC1_INN1    ,
PortA,PA1  ,                 ,TIM2_CH2           ,TIM5_CH2           ,LPTIM3_OUT                           ,TIM15_CH1N                                      ,                             ,                                           ,USART2_RTS/USART2_DE                       ,UART4_RX                               ,OCTOSPIM_P1_IO3                          ,SAI2_MCLK_B                              ,OCTOSPIM_P1_DQS                                                      ,                                 ,                               ,LCD_R2   ,EVENTOUT,ADC1_INP17/ADC1_INN16  ,
PortA,PA1_C,                 ,                   ,                   ,                                     ,                                                ,                             ,                                           ,                                           ,                                       ,                                         ,                                         ,                                                                     ,                                 ,                               ,         ,        ,ADC1_INP1              ,
PortA,PA1_C,                 ,                   ,                   ,                                     ,                                                ,                             ,                                           ,                                           ,                                       ,                                         ,                                         ,                                                                     ,                                 ,                               ,         ,        ,ADC1_INP1              ,
PortA,PA2  ,                 ,TIM2_CH3           ,TIM5_CH3           ,                                     ,TIM15_CH1                                       ,                             ,DFSDM2_CKIN1                               ,USART2_TX                                  ,SAI2_SCK_B                             ,                                         ,                                         ,                                                                     ,MDIOS_MDIO                       ,                               ,LCD_R1   ,EVENTOUT,ADC1_INP14             ,PWR_WKUP2
PortA,PA3  ,                 ,TIM2_CH4           ,TIM5_CH4           ,OCTOSPIM_P1_CLK                      ,TIM15_CH2                                       ,I2S6_MCK                     ,                                           ,USART2_RX                                  ,                                       ,LCD_B2                                   ,USB_OTG_HS_ULPI_D0                       ,                                                                     ,                                 ,                               ,LCD_B5   ,EVENTOUT,ADC1_INP15             ,
PortA,PA4  ,                 ,                   ,TIM5_ETR           ,                                     ,                                                ,SPI1_NSS/I2S1_WS             ,SPI3_NSS/I2S3_WS                           ,USART2_CK                                  ,SPI6_NSS/I2S6_WS                       ,                                         ,                                         ,                                                                     ,                                 ,PSSI_DE/DCMI_HSYNC             ,LCD_VSYNC,EVENTOUT,ADC1_INP18             ,DAC1_OUT1
PortA,PA5  ,PWR_NDSTOP2      ,TIM2_CH1_ETR       ,                   ,TIM8_CH1N                            ,                                                ,SPI1_SCK/I2S1_CK             ,                                           ,                                           ,SPI6_SCK/I2S6_CK                       ,                                         ,USB_OTG_HS_ULPI_CK                       ,                                                                     ,                                 ,PSSI_D14                       ,LCD_R4   ,EVENTOUT,ADC1_INP19/ADC1_INN18  ,DAC1_OUT2
