#  STM32H743  This was auto-generated by make-af-csv.py
Port ,Pin  ,AF0              ,AF1                      ,AF2                   ,AF3                                   ,AF4                                      ,AF5                        ,AF6                               ,AF7                                      ,AF8                                          ,AF9                                                   ,AF10                                  ,AF11                                            ,AF12                             ,AF13                           ,AF14     ,AF15    ,ADC                      ,SYS
PortA,PA11 ,                 ,TIM1_CH4                 ,HRTIM_CHD1            ,LPUART1_CTS                           ,                                         ,SPI2_NSS/I2S2_WS           ,UART4_RX                          ,USART1_CTS/USART1_NSS                    ,                                             ,FDCAN1_RX                                             ,USB_OTG_FS_DM                         ,                                                ,                                 ,                               ,LCD_R4   ,EVENTOUT,                         ,
PortA,PA12 ,                 ,TIM1_ETR                 ,HRTIM_CHD2            ,LPUART1_RTS/LPUART1_DE                ,                                         ,SPI2_SCK/I2S2_CK           ,UART4_TX                          ,USART1_RTS/USART1_DE                     ,SAI2_FS_B                                    ,FDCAN1_TX                                             ,USB_OTG_FS_DP                         ,                                                ,                                 ,                               ,LCD_R5   ,EVENTOUT,                         ,
PortA,PA13 ,DEBUG_JTMS_SWDIO ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,EVENTOUT,                         ,
PortA,PA14 ,DEBUG_JTCK_SWCLK ,                         ,                      ,                                      ,                                         ,                           ,                                  ,                                         ,                                             ,                                                      ,                                      ,                                                ,                                 ,                               ,         ,EVENTOUT,                         ,
PortA,PA15 ,DEBUG_JTDI       ,TIM2_CH1_ETR             ,HRTIM_FLT1            ,                                      ,CEC                                      ,SPI1_NSS/I2S1_WS           ,SPI3_NSS/I2S3_WS                  ,SPI6_NSS                                 ,UART4_RTS/UART4_DE                           ,                                                      ,                                      ,UART7_TX                                        ,                                 ,                               ,         ,EVENTOUT,                         ,
PortB,PB0  ,                 ,TIM1_CH2N                ,TIM3_CH3              ,TIM8_CH2N                             ,                                         ,                           ,DFSDM1_CKOUT                      ,                                         ,UART4_CTS                                    ,LCD_R3                                                ,USB_OTG_HS_ULPI_D1                    ,ETH_MII_RXD2                                    ,                                 ,                               ,LCD_G1   ,EVENTOUT,ADC12_INP9/ADC12_INN5    ,
PortB,PB1  ,                 ,TIM1_CH3N                ,TIM3_CH4              ,TIM8_CH3N                             ,                                         ,                           ,DFSDM1_DATIN1                     ,                                         ,                                             ,LCD_R6                                                ,USB_OTG_HS_ULPI_D2                    ,ETH_MII_RXD3                                    ,                                 ,                               ,LCD_G0   ,EVENTOUT,ADC12_INP5               ,
PortB,PB2  ,                 ,                         ,SAI1_D1               ,                                      ,DFSDM1_CKIN1                             ,                           ,SAI1_SD_A                         ,SPI3_MOSI/I2S3_SDO                       ,SAI4_SD_A                                    ,QUADSPI_CLK                                           ,SAI4_D1                               ,ETH_MII_TX_ER                                   ,                                 ,                               ,         ,EVENTOUT,                         ,RTC_OUT_ALARM/RTC_OUT_CALIB
PortB,PB3  ,DEBUG_JTDO_SWO   ,TIM2_CH2                 ,HRTIM_FLT4            ,                                      ,                                         ,SPI1_SCK/I2S1_CK           ,SPI3_SCK/I2S3_CK                  ,                                         ,SPI6_SCK                                     ,SDMMC2_D2                                             ,CRS_SYNC                              ,UART7_RX                                        ,                                 ,                               ,         ,EVENTOUT,                         ,
PortB,PB4  ,                 ,TIM16_BKIN               ,TIM3_CH1              ,HRTIM_EEV6                            ,                                         ,SPI1_MISO/I2S1_SDI         ,SPI3_MISO/I2S3_SDI                ,SPI2_NSS/I2S2_WS                         ,SPI6_MISO                                    ,SDMMC2_D3                                             ,                                      ,UART7_TX                                        ,                                 ,                               ,         ,EVENTOUT,                         ,
PortB,PB5  ,                 ,TIM17_BKIN               ,TIM3_CH2              ,HRTIM_EEV7                            ,I2C1_SMBA                                ,SPI1_MOSI/I2S1_SDO         ,I2C4_SMBA                         ,SPI3_MOSI/I2S3_SDO                       ,SPI6_MOSI                                    ,FDCAN2_RX                                             ,USB_OTG_HS_ULPI_D7                    ,ETH_PPS_OUT                                     ,FMC_SDCKE1                       ,DCMI_D10                       ,UART5_RX ,EVENTOUT,                         ,
PortB,PB6  ,                 ,TIM16_CH1N               ,TIM4_CH1              ,HRTIM_EEV8                            ,I2C1_SCL                                 ,CEC                        ,I2C4_SCL                          ,USART1_TX                                ,LPUART1_TX                                   ,FDCAN2_TX                                             ,QUADSPI_BK1_NCS                       ,DFSDM1_DATIN5                                   ,FMC_SDNE1                        ,DCMI_D5                        ,UART5_TX ,EVENTOUT,                         ,
PortB,PB7  ,                 ,TIM17_CH1N               ,TIM4_CH2              ,HRTIM_EEV9                            ,I2C1_SDA                                 ,                           ,I2C4_SDA                          ,USART1_RX                                ,LPUART1_RX                                   ,                                                      ,                                      ,DFSDM1_CKIN5                                    ,FMC_NL                           ,DCMI_VSYNC                     ,         ,EVENTOUT,                         ,PWR_PVD_IN
PortB,PB8  ,                 ,TIM16_CH1                ,TIM4_CH3              ,DFSDM1_CKIN7                          ,I2C1_SCL                                 ,                           ,I2C4_SCL                          ,SDMMC1_CKIN                              ,UART4_RX                                     ,FDCAN1_RX                                             ,SDMMC2_D4                             ,ETH_MII_TXD3                                    ,SDMMC1_D4                        ,DCMI_D6                        ,LCD_B6   ,EVENTOUT,                         ,
PortB,PB9  ,                 ,TIM17_CH1                ,TIM4_CH4              ,DFSDM1_DATIN7                         ,I2C1_SDA                                 ,SPI2_NSS/I2S2_WS           ,I2C4_SDA                          ,SDMMC1_CDIR                              ,UART4_TX                                     ,FDCAN1_TX                                             ,SDMMC2_D5                             ,I2C4_SMBA                                       ,SDMMC1_D5                        ,DCMI_D7                        ,LCD_B7   ,EVENTOUT,                         ,
PortB,PB10 ,                 ,TIM2_CH3                 ,HRTIM_SCOUT           ,LPTIM2_IN1                            ,I2C2_SCL                                 ,SPI2_SCK/I2S2_CK           ,DFSDM1_DATIN7                     ,USART3_TX                                ,                                             ,QUADSPI_BK1_NCS                                       ,USB_OTG_HS_ULPI_D3                    ,ETH_MII_RX_ER                                   ,                                 ,                               ,LCD_G4   ,EVENTOUT,                         ,
PortB,PB11 ,                 ,TIM2_CH4                 ,HRTIM_SCIN            ,LPTIM2_ETR                            ,I2C2_SDA                                 ,                           ,DFSDM1_CKIN7                      ,USART3_RX                                ,                                             ,                                                      ,USB_OTG_HS_ULPI_D4                    ,ETH_MII_TX_EN/ETH_RMII_TX_EN                    ,                                 ,                               ,LCD_G5   ,EVENTOUT,                         ,
PortB,PB12 ,                 ,TIM1_BKIN                ,                      ,                                      ,I2C2_SMBA                                ,SPI2_NSS/I2S2_WS           ,DFSDM1_DATIN1                     ,USART3_CK                                ,                                             ,FDCAN2_RX                                             ,USB_OTG_HS_ULPI_D5                    ,ETH_MII_TXD0/ETH_RMII_TXD0                      ,USB_OTG_HS_ID                    ,TIM1_BKIN_COMP1/TIM1_BKIN_COMP2,UART5_RX ,EVENTOUT,                         ,
PortB,PB13 ,                 ,TIM1_CH1N                ,                      ,LPTIM2_OUT                            ,                                         ,SPI2_SCK/I2S2_CK           ,DFSDM1_CKIN1                      ,USART3_CTS/USART3_NSS                    ,                                             ,FDCAN2_TX                                             ,USB_OTG_HS_ULPI_D6                    ,ETH_MII_TXD1/ETH_RMII_TXD1                      ,                                 ,                               ,UART5_TX ,EVENTOUT,                         ,USB_OTG_HS_VBUS
PortB,PB14 ,                 ,TIM1_CH2N                ,TIM12_CH1             ,TIM8_CH2N                             ,USART1_TX                                ,SPI2_MISO/I2S2_SDI         ,DFSDM1_DATIN2                     ,USART3_RTS/USART3_DE                     ,UART4_RTS/UART4_DE                           ,SDMMC2_D0                                             ,                                      ,                                                ,USB_OTG_HS_DM                    ,                               ,         ,EVENTOUT,                         ,
PortB,PB15 ,RTC_REFIN        ,TIM1_CH3N                ,TIM12_CH2             ,TIM8_CH3N                             ,USART1_RX                                ,SPI2_MOSI/I2S2_SDO         ,DFSDM1_CKIN2                      ,                                         ,UART4_CTS                                    ,SDMMC2_D1                                             ,                                      ,                                                ,USB_OTG_HS_DP                    ,                               ,         ,EVENTOUT,                         ,
