#  STM32WL55  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0               ,AF1          ,AF2     ,AF3                  ,AF4      ,AF5              ,AF6          ,AF7                  ,AF8                   ,AF9 ,AF10,AF11,AF12        ,AF13                   ,AF14             ,AF15,ADC      ,SYS
PortB,PB4 ,                  ,             ,        ,                     ,I2C3_SDA ,SPI1_MISO        ,             ,USART1_CTS/USART1_NSS,                      ,    ,    ,    ,            ,DEBUG_RF_LDORDY        ,TIM17_BKIN       ,    ,ADC1_IN3 ,
PortB,PB5 ,                  ,LPTIM1_IN1   ,        ,                     ,I2C1_SMBA,SPI1_MOSI        ,             ,USART1_CK            ,                      ,    ,    ,    ,COMP2_OUT   ,                       ,TIM16_BKIN       ,    ,         ,
PortB,PB6 ,                  ,LPTIM1_ETR   ,        ,                     ,I2C1_SCL ,                 ,             ,USART1_TX            ,                      ,    ,    ,    ,            ,                       ,TIM16_CH1N       ,    ,         ,
PortB,PB7 ,                  ,LPTIM1_IN2   ,        ,TIM1_BKIN            ,I2C1_SDA ,                 ,             ,USART1_RX            ,                      ,    ,    ,    ,            ,                       ,TIM17_CH1N       ,    ,         ,PWR_PVD_IN
PortB,PB8 ,                  ,TIM1_CH2N    ,        ,                     ,I2C1_SCL ,                 ,             ,                     ,                      ,    ,    ,    ,            ,                       ,TIM16_CH1        ,    ,         ,
PortB,PB9 ,                  ,TIM1_CH3N    ,        ,                     ,I2C1_SDA ,SPI2_NSS/I2S2_WS ,             ,                     ,IR_OUT                ,    ,    ,    ,            ,                       ,TIM17_CH1        ,    ,         ,
PortB,PB10,                  ,TIM2_CH3     ,        ,                     ,I2C3_SCL ,SPI2_SCK/I2S2_CK ,             ,                     ,LPUART1_RX            ,    ,    ,    ,COMP1_OUT   ,                       ,                 ,    ,         ,
PortB,PB11,                  ,TIM2_CH4     ,        ,                     ,I2C3_SDA ,                 ,             ,                     ,LPUART1_TX            ,    ,    ,    ,COMP2_OUT   ,                       ,                 ,    ,         ,
PortB,PB12,                  ,             ,        ,TIM1_BKIN            ,I2C3_SMBA,SPI2_NSS/I2S2_WS ,             ,                     ,LPUART1_RTS           ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortB,PB13,                  ,TIM1_CH1N    ,        ,                     ,I2C3_SCL ,SPI2_SCK/I2S2_CK ,             ,                     ,LPUART1_CTS           ,    ,    ,    ,            ,                       ,                 ,    ,ADC1_IN0 ,
PortB,PB14,                  ,TIM1_CH2N    ,        ,I2S2_MCK             ,I2C3_SDA ,SPI2_MISO        ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,ADC1_IN1 ,
PortB,PB15,                  ,TIM1_CH3N    ,        ,                     ,I2C2_SCL ,SPI2_MOSI/I2S2_SD,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortC,PC0 ,                  ,LPTIM1_IN1   ,        ,                     ,I2C3_SCL ,                 ,             ,                     ,LPUART1_RX            ,    ,    ,    ,            ,                       ,LPTIM2_IN1       ,    ,         ,
PortC,PC1 ,                  ,LPTIM1_OUT   ,        ,SPI2_MOSI/I2S2_SD    ,I2C3_SDA ,                 ,             ,                     ,LPUART1_TX            ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortC,PC2 ,                  ,LPTIM1_IN2   ,        ,                     ,         ,SPI2_MISO        ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortC,PC3 ,                  ,LPTIM1_ETR   ,        ,                     ,         ,SPI2_MOSI/I2S2_SD,             ,                     ,                      ,    ,    ,    ,            ,                       ,LPTIM2_ETR       ,    ,         ,
PortC,PC4 ,                  ,             ,        ,                     ,         ,                 ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortC,PC5 ,                  ,             ,        ,                     ,         ,                 ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortC,PC6 ,                  ,             ,        ,                     ,         ,I2S2_MCK         ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,
PortC,PC13,                  ,             ,        ,                     ,         ,                 ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,PWR_WKUP2/RTC_OUT1/RTC_TAMP_IN1/RTC_TS
PortC,PC14,                  ,             ,        ,                     ,         ,                 ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,OSC32_IN
PortC,PC15,                  ,             ,        ,                     ,         ,                 ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,OSC32_OUT
PortH,PH3 ,                  ,             ,        ,                     ,         ,                 ,             ,                     ,                      ,    ,    ,    ,            ,                       ,                 ,    ,         ,BOOT0
