#  STM32N657  This was auto-generated by make-af-csv.py
Port ,Pin ,AF0                    ,AF1                  ,AF2                             ,AF3                                ,AF4                              ,AF5                                    ,AF6                                      ,AF7                                                  ,AF8                                       ,AF9                                ,AF10                                                          ,AF11                                               ,AF12                      ,AF13         ,AF14           ,AF15        ,ADC                    ,SYS
PortA,PA13,DEBUG_JTMS_SWDIO       ,                     ,                                ,                                   ,                                 ,                                       ,                                         ,                                                     ,                                          ,                                   ,                                                              ,                                                   ,                          ,             ,               ,HDP_HDP5    ,                       ,
PortA,PA14,DEBUG_JTCK_SWCLK       ,                     ,                                ,                                   ,                                 ,                                       ,                                         ,                                                     ,                                          ,                                   ,                                                              ,                                                   ,                          ,             ,               ,HDP_HDP6    ,                       ,
PortA,PA15,DEBUG_JTDI             ,TIM2_CH1             ,TIM2_ETR                        ,                                   ,                                 ,SPI1_NSS/I2S1_WS                       ,SPI3_NSS/I2S3_WS                         ,SPI6_NSS/I2S6_WS                                     ,UART4_RTS/UART4_DE                        ,                                   ,UART7_TX                                                      ,                                                   ,FMC_D15/FMC_DA15          ,             ,LCD_R5         ,HDP_HDP7    ,                       ,
PortB,PB0 ,DEBUG_TRACED1          ,TIM1_CH4             ,SAI1_D2                         ,ADF1_SDI0                          ,MDF1_SDI2                        ,SPI4_NSS                               ,SAI1_FS_A                                ,TIM15_CH1N                                           ,                                          ,DCMIPP_D4/DCMI_D4/PSSI_D4          ,                                                              ,                                                   ,FMC_D13/FMC_DA13          ,             ,               ,EVENTOUT    ,                       ,
PortB,PB1 ,                       ,TIM1_CH3N            ,TIM3_CH4                        ,TIM9_CH2                           ,                                 ,                                       ,FDCAN2_TX                                ,USART2_TX                                            ,                                          ,                                   ,                                                              ,                                                   ,FMC_NOE                   ,             ,LCD_R1         ,HDP_HDP1    ,                       ,
PortB,PB2 ,RTC_OUT2               ,TIM1_CH1             ,SAI1_D1                         ,ADF1_SDI0                          ,MDF1_SDI1                        ,                                       ,SAI1_SD_A                                ,SPI3_MOSI/I2S3_SDO                                   ,                                          ,                                   ,                                                              ,                                                   ,FMC_D2/FMC_DA2            ,             ,LCD_B2         ,HDP_HDP2    ,                       ,
PortB,PB3 ,DEBUG_TRACECLK         ,TIM1_CH4N            ,GFXTIM_FCKCAL                   ,                                   ,MDF1_CKI1                        ,                                       ,                                         ,USART1_CK                                            ,                                          ,                                   ,SAI2_FS_B                                                     ,                                                   ,FMC_NBL1                  ,GFXTIM_LCKCAL,FMC_A23        ,HDP_HDP0    ,                       ,
PortB,PB4 ,DEBUG_NJTRST           ,TIM16_BKIN           ,TIM3_CH1                        ,LPTIM4_ETR                         ,                                 ,SPI1_MISO/I2S1_SDI                     ,SPI3_MISO/I2S3_SDI                       ,SPI2_NSS/I2S2_WS                                     ,SPI6_MISO/I2S6_SDI                        ,DCMIPP_VSYNC/DCMI_VSYNC/PSSI_RDY   ,UART7_TX                                                      ,SDMMC2_D3                                          ,FMC_D13/FMC_DA13          ,             ,LCD_R3         ,HDP_HDP4    ,                       ,
PortB,PB5 ,DEBUG_JTDO_SWO         ,TIM17_BKIN           ,TIM3_CH2                        ,LPTIM4_OUT                         ,I2C1_SMBA                        ,SPI1_MOSI/I2S1_SDO                     ,FDCAN2_RX                                ,SPI3_MOSI/I2S3_SDO                                   ,SPI6_MOSI/I2S6_SDO                        ,DCMIPP_D10/DCMI_D10/PSSI_D10       ,                                                              ,UART5_RX                                           ,FMC_D12/FMC_DA12          ,             ,LCD_R2         ,HDP_HDP5    ,                       ,
PortB,PB6 ,DEBUG_TRACED2          ,                     ,SAI1_CK2                        ,ADF1_CCK1                          ,MDF1_CCK1                        ,SPI4_MISO                              ,SAI1_SCK_A                               ,TIM15_CH1                                            ,                                          ,DCMIPP_D6/DCMI_D6/PSSI_D6          ,                                                              ,                                                   ,FMC_D14/FMC_DA14          ,             ,               ,EVENTOUT    ,                       ,
