# This was auto-generated by make-af.csv.py
Port ,Pin ,AF0              ,AF1                ,AF2                       ,AF3                                  ,AF4                                           ,AF5                                             ,AF6                                                  ,AF7                                                 ,AF8                               ,AF9                                  ,AF10                                 ,AF11                                 ,AF12            ,AF13                 ,AF14                   ,AF15    ,ADC
PortA,PA15,DEBUG_JTDI       ,TIM2_CH1           ,LPTIM3_IN2                ,                                     ,CEC                                           ,I2S1_WS/SPI1_NSS                                ,I2S3_WS/SPI3_NSS                                     ,SPI6_NSS                                            ,UART4_DE/UART4_RTS                ,                                     ,                                     ,UART7_TX                             ,FMC_NBL1        ,DCMI_D11/PSSI_D11    ,TIM2_ETR               ,EVENTOUT,
PortB,PB0 ,                 ,TIM1_CH2N          ,TIM3_CH3                  ,TIM8_CH2N                            ,                                              ,                                                ,OCTOSPI1_IO1                                         ,USART11_CK                                          ,UART4_CTS                         ,                                     ,                                     ,ETH_MII_RXD2                         ,                ,                     ,LPTIM3_CH1             ,EVENTOUT,ADC12_INN5/ADC12_INP9
PortB,PB1 ,                 ,TIM1_CH3N          ,TIM3_CH4                  ,TIM8_CH3N                            ,                                              ,                                                ,OCTOSPI1_IO0                                         ,                                                    ,                                  ,                                     ,                                     ,ETH_MII_RXD3                         ,                ,                     ,LPTIM3_CH2             ,EVENTOUT,ADC12_INP5
PortB,PB2 ,RTC_OUT2         ,                   ,SAI1_D1                   ,TIM8_CH4N                            ,SPI1_RDY                                      ,LPTIM1_CH1                                      ,SAI1_SD_A                                            ,I2S3_SDO/SPI3_MOSI                                  ,                                  ,OCTOSPI1_CLK                         ,OCTOSPI1_DQS                         ,                                     ,SDMMC1_CMD      ,LPTIM5_ETR           ,                       ,EVENTOUT,
PortB,PB3 ,DEBUG_JTDO/SWO   ,TIM2_CH2           ,                          ,                                     ,I2C2_SDA                                      ,I2S1_CK/SPI1_SCK                                ,I2S3_CK/SPI3_SCK                                     ,UART12_CTS                                          ,SPI6_SCK                          ,SDMMC2_D2                            ,CRS_SYNC                             ,UART7_RX                             ,                ,                     ,LPTIM6_ETR             ,EVENTOUT,
PortB,PB4 ,DEBUG_JTRST      ,TIM16_BKIN         ,TIM3_CH1                  ,OCTOSPI1_CLK                         ,LPTIM1_CH2                                    ,I2S1_SDI/SPI1_MISO                              ,I2S3_SDI/SPI3_MISO                                   ,I2S2_WS/SPI2_NSS                                    ,SPI6_MISO                         ,SDMMC2_D3                            ,                                     ,UART7_TX                             ,                ,DCMI_D7/PSSI_D7      ,                       ,EVENTOUT,
PortB,PB5 ,                 ,TIM17_BKIN         ,TIM3_CH2                  ,OCTOSPI1_NCLK                        ,I2C1_SMBA                                     ,I2S1_SDO/SPI1_MOSI                              ,I2C4_SMBA                                            ,I2S3_SDO/SPI3_MOSI                                  ,SPI6_MOSI                         ,FDCAN2_RX                            ,                                     ,ETH_PPS_OUT                          ,FMC_SDCKE1      ,DCMI_D10/PSSI_D10    ,UART5_RX               ,EVENTOUT,
PortB,PB6 ,                 ,TIM16_CH1N         ,TIM4_CH1                  ,I3C1_SCL                             ,I2C1_SCL                                      ,CEC                                             ,I2C4_SCL                                             ,USART1_TX                                           ,LPUART1_TX                        ,FDCAN2_TX                            ,OCTOSPI1_NCS                         ,                                     ,FMC_SDNE1       ,DCMI_D5/PSSI_D5      ,UART5_TX               ,EVENTOUT,
PortB,PB7 ,                 ,TIM17_CH1N         ,TIM4_CH2                  ,I3C1_SDA                             ,I2C1_SDA                                      ,                                                ,I2C4_SDA                                             ,USART1_RX                                           ,LPUART1_RX                        ,FDCAN1_TX                            ,SDMMC2_D5                            ,SDMMC2_CKIN                          ,FMC_NL          ,DCMI_VSYNC/PSSI_RDY  ,                       ,EVENTOUT,
PortB,PB8 ,                 ,TIM16_CH1          ,TIM4_CH3                  ,I3C1_SCL                             ,I2C1_SCL                                      ,SPI4_RDY                                        ,I2C4_SCL                                             ,SDMMC1_CKIN                                         ,UART4_RX                          ,FDCAN1_RX                            ,SDMMC2_D4                            ,ETH_MII_TXD3                         ,SDMMC1_D4       ,DCMI_D6/PSSI_D6      ,                       ,EVENTOUT,
PortB,PB9 ,                 ,TIM17_CH1          ,TIM4_CH4                  ,I3C1_SDA                             ,I2C1_SDA                                      ,I2S2_WS/SPI2_NSS                                ,I2C4_SDA                                             ,SDMMC1_CDIR                                         ,UART4_TX                          ,FDCAN1_TX                            ,SDMMC2_D5                            ,SDMMC2_CKIN                          ,SDMMC1_D5       ,DCMI_D7/PSSI_D7      ,                       ,EVENTOUT,
PortB,PB10,                 ,TIM2_CH3           ,LPTIM3_CH1                ,LPTIM2_IN1                           ,I2C2_SCL                                      ,I2S2_CK/SPI2_SCK                                ,                                                     ,USART3_TX                                           ,                                  ,OCTOSPI1_NCS                         ,                                     ,ETH_MII_RX_ER                        ,                ,                     ,                       ,EVENTOUT,
PortB,PB11,                 ,TIM2_CH4           ,                          ,LPTIM2_ETR                           ,I2C2_SDA                                      ,SPI2_RDY                                        ,SPI4_RDY                                             ,USART3_RX                                           ,                                  ,                                     ,                                     ,ETH_MII_TX_EN/ETH_RMII_TX_EN         ,FMC_NBL1        ,                     ,                       ,EVENTOUT,
PortB,PB12,                 ,TIM1_BKIN          ,                          ,OCTOSPI1_NCLK                        ,I2C2_SDA                                      ,I2S2_WS/SPI2_NSS                                ,UCPD1_FRSTX                                          ,USART3_CK                                           ,                                  ,FDCAN2_RX                            ,                                     ,ETH_MII_TXD0/ETH_RMII_TXD0           ,                ,                     ,UART5_RX               ,EVENTOUT,
PortB,PB13,                 ,TIM1_CH1N          ,LPTIM3_IN1                ,LPTIM2_CH1                           ,I2C2_SMBA                                     ,I2S2_CK/SPI2_SCK                                ,                                                     ,USART3_CTS/USART3_NSS                               ,                                  ,FDCAN2_TX                            ,                                     ,ETH_MII_TXD1/ETH_RMII_TXD1           ,SDMMC1_D0       ,                     ,UART5_TX               ,EVENTOUT,
PortB,PB14,                 ,TIM1_CH2N          ,TIM12_CH1                 ,TIM8_CH2N                            ,USART1_TX                                     ,I2S2_SDI/SPI2_MISO                              ,                                                     ,USART3_RTS                                          ,UART4_DE/UART4_RTS                ,SDMMC2_D0                            ,                                     ,ETH_MII_TX_EN/ETH_RMII_TX_EN         ,                ,                     ,LPTIM3_ETR             ,EVENTOUT,
PortB,PB15,RTC_REFIN        ,TIM1_CH3N          ,TIM12_CH2                 ,TIM8_CH3N                            ,USART1_RX                                     ,I2S2_SDO/SPI2_MOSI                              ,                                                     ,USART11_CTS/USART11_NSS                             ,UART4_CTS                         ,SDMMC2_D1                            ,OCTOSPI1_CLK                         ,ETH_MII_TXD1/ETH_RMII_TXD1           ,                ,DCMI_D2/PSSI_D2      ,UART5_RX               ,EVENTOUT,
PortC,PC0 ,                 ,TIM16_BKIN         ,                          ,                                     ,                                              ,                                                ,SAI1_MCLK_A                                          ,SPI2_RDY                                            ,SAI2_FS_B                         ,FMC_A25                              ,OCTOSPI1_IO7                         ,                                     ,FMC_SDNWE       ,                     ,                       ,EVENTOUT,ADC12_INP10
PortC,PC1 ,DEBUG_TRACED0    ,                   ,SAI1_D1                   ,                                     ,                                              ,I2S2_SDO/SPI2_MOSI                              ,SAI1_SD_A                                            ,USART11_RTS                                         ,SAI2_SD_A                         ,SDMMC2_CK                            ,OCTOSPI1_IO4                         ,ETH_MDC                              ,                ,                     ,                       ,EVENTOUT,ADC12_INN10/ADC12_INP11
PortC,PC2 ,PWR_CSLEEP       ,TIM17_CH1          ,TIM4_CH4                  ,                                     ,                                              ,I2S2_SDI/SPI2_MISO                              ,OCTOSPI1_IO5                                         ,                                                    ,                                  ,OCTOSPI1_IO2                         ,                                     ,ETH_MII_TXD2                         ,FMC_SDNE0       ,                     ,                       ,EVENTOUT,ADC12_INN11/ADC12_INP12
PortC,PC3 ,PWR_CSTOP        ,                   ,SAI1_D3                   ,LPTIM3_CH1                           ,                                              ,I2S2_SDO/SPI2_MOSI                              ,OCTOSPI1_IO6                                         ,                                                    ,                                  ,OCTOSPI1_IO0                         ,                                     ,ETH_MII_TX_CLK                       ,FMC_SDCKE0      ,                     ,                       ,EVENTOUT,ADC12_INN12/ADC12_INP13
