Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,,,,,,,,,ADC
PortA,PA0,I/O,,,,TIM2_CH1/TIM2_ETR,,TSC_G1_IO1,,,,USART2_CTS,,,,,,,,EVENTOUT
PortA,PA1,I/O,,,,TIM2_CH2,,TSC_G1_IO2,,,,USART2_DE/USART2_RTS,,TIM15_CH1N,,,,,,EVENTOUT
PortA,PA2,I/O,,,,TIM2_CH3,,TSC_G1_IO3,,,,USART2_TX,COMP2_OUT,TIM15_CH1,,,,,,EVENTOUT
PortA,PA3,I/O,,,,TIM2_CH4,,TSC_G1_IO4,,,,USART2_RX,,TIM15_CH2,,,,,,EVENTOUT
PortA,PA4,I/O,,,,,TIM3_CH2,TSC_G2_IO1,,SPI1_NSS,,USART2_CK,,,,,,,,EVENTOUT
PortA,PA5,I/O,,,,TIM2_CH1/TIM2_ETR,,TSC_G2_IO2,,SPI1_SCK,,,,,,,,,,EVENTOUT
PortA,PA6,I/O,,,,TIM16_CH1,TIM3_CH1,TSC_G2_IO3,,SPI1_MISO,TIM1_BKIN,,,,,,,,,EVENTOUT
PortA,PA7,I/O,,,,TIM17_CH1,TIM3_CH2,TSC_G2_IO4,,SPI1_MOSI,TIM1_CH1N,,,,,,,,,EVENTOUT
PortA,PA8,I/O,,,RCC_MCO,,,,,,TIM1_CH1,USART1_CK,,,,,,,,EVENTOUT
PortA,PA9,I/O,,,,,,TSC_G4_IO1,,,TIM1_CH2,USART1_TX,,TIM15_BKIN,TIM2_CH3,,,,,EVENTOUT
PortA,PA10,I/O,,,,TIM17_BKIN,,TSC_G4_IO2,,,TIM1_CH3,USART1_RX,,,TIM2_CH4,,,,,EVENTOUT
PortA,PA11,I/O,,,,,,,,,TIM1_CH1N,USART1_CTS,,CAN_RX,,TIM1_CH4,TIM1_BKIN2,,,EVENTOUT
PortA,PA12,I/O,,,,TIM16_CH1,,,,,TIM1_CH2N,USART1_DE/USART1_RTS,COMP2_OUT,CAN_TX,,TIM1_ETR,,,,EVENTOUT
PortA,PA13,I/O,,,SYS_JTMS-SWDIO,TIM16_CH1N,,TSC_G4_IO3,,IR_OUT,,,,,,,,,,EVENTOUT
PortA,PA14,I/O,,,SYS_JTCK-SWCLK,,,TSC_G4_IO4,I2C1_SDA,,TIM1_BKIN,USART2_TX,,,,,,,,EVENTOUT
PortA,PA15,I/O,,,SYS_JTDI,TIM2_CH1/TIM2_ETR,,TSC_SYNC,I2C1_SCL,SPI1_NSS,,USART2_RX,,TIM1_BKIN,,,,,,EVENTOUT
PortB,PB0,I/O,,,,,TIM3_CH3,TSC_G3_IO2,,,TIM1_CH2N,,,,,,,,,EVENTOUT
PortB,PB1,I/O,,,,,TIM3_CH4,TSC_G3_IO3,,,TIM1_CH3N,,COMP4_OUT,,,,,,,EVENTOUT
PortA,PB3,I/O,,,SYS_JTDO-TRACESWO,TIM2_CH2,,TSC_G5_IO1,,SPI1_SCK,,USART2_TX,,,TIM3_ETR,,,,,EVENTOUT
PortB,PB4,I/O,,,SYS_NJTRST,TIM16_CH1,TIM3_CH1,TSC_G5_IO2,,SPI1_MISO,,USART2_RX,,,TIM17_BKIN,,,,,EVENTOUT
PortB,PB5,I/O,,,,TIM16_BKIN,TIM3_CH2,,I2C1_SMBA,SPI1_MOSI,,USART2_CK,,,TIM17_CH1,,,,,EVENTOUT
PortB,PB6,I/O,,,,TIM16_CH1N,,TSC_G5_IO3,I2C1_SCL,,,USART1_TX,,,,,,,,EVENTOUT
PortB,PB7,I/O,,,,TIM17_CH1N,,TSC_G5_IO4,I2C1_SDA,,,USART1_RX,,,TIM3_CH4,,,,,EVENTOUT
