I2C_SCL,GPIO22
I2C_SDA,GPIO21
RGB_DATA,GPIO2
RGB_CLK,GPIO12
RGB_PWR,GPIO13
SPI_SS,GPIO5
SPI_MOSI,GPIO23
SPI_SCK,GPIO18
SPI_MISO,GPIO19
VBAT_SENSE,GPIO35
VBAT_CHRG,GPIO34
VBUS_SENSE,GPIO9
