X1,PA0
X2,PA1
X3,PA2
X4,PA3
X5,PA4
X6,PA5
X7,PA6
X8,PA7
X11,PB1
X12,PB5
X13,Reset
X14,GND
X15,3.3V
X16,VIN
X17,PB3
Y1,PA8
Y2,PB8
Y3,PB10
Y4,PB9
Y5,PB12
Y6,PB13
Y7,PB14
Y8,PB15
Y9,PB6
Y10,PB7
Y11,PB0
Y12,PC13
Y13,Reset
Y14,GND
Y15,3.3V
Y16,VIN
SW,PB3
LED_BLUE,PB4
LED_RED,PA13
LED_GREEN,PA14
LED_YELLOW,PA15
USB_VBUS,PA9
USB_DM,PA11
USB_DP,PA12
USB_ID,PA10
OSC32_IN,PC14
OSC32_OUT,PC15
