I2C_SCL,GPIO8
I2C_SDA,GPIO9
RGB_DATA,GPIO1
RGB_PWR,GPIO2
SPI_SS,GPIO14
SPI_MOSI,GPIO35
SPI_SCK,GPIO36
SPI_MISO,GPIO37
UART0_TX,GPIO43
UART0_RX,GPIO44
VBAT_SENSE,GPIO3
VBUS_SENSE,GPIO21
