I2C_SCL,GPIO8
I2C_SDA,GPIO9
LED_BLUE,GPIO13
RGB_DATA,GPIO40
RGB_PWR,GPIO39
RGB_MATRIX_DATA,GPIO21
RGB_MATRIX_DATA,GPIO4
SPI_MOSI,GPIO35
SPI_SCK,GPIO36
SPI_MISO,GPIO37
UART0_TX,GPIO43
UART0_RX,GPIO44
VBAT_SENSE,GPIO2
VBUS_SENSE,GPIO34
