I2C_SCL,GPIO8
I2C_SDA,GPIO9
SPI_SS,GPIO34
SPI_MOSI,GPIO35
SPI_SCK,GPIO36
SPI_MISO,GPIO37
RGB_DATA,GPIO41
RGB_PWR,GPIO42
UART0_TX,GPIO43
UART0_RX,GPIO44
