TX,GPIO0
RX,GPIO1
D2,GPIO25
D3,GPIO15
D4,GPIO16
D5,GPIO17
D6,GPIO18
D7,GPIO19
D8,GPIO20
D9,GPIO21
D10,GPIO5
D11,GPIO7
D12,GPIO4
D13,GPIO6
D14,GPIO26
D15,GPIO27
D16,GPIO28
D17,GPIO29
LED,GPIO6
LED_BUILTIN,GPIO6
A0,GPIO26
A1,GPIO27
A2,GPIO28
A3,GPIO29
SDA,GPIO12
SCL,GPIO13
LEDR,EXT_GPIO0
LEDG,EXT_GPIO1
LEDB,EXT_GPIO2
LED_RED,EXT_GPIO0
LED_GREEN,EXT_GPIO1
LED_BLUE,EXT_GPIO2
D18,EXT_GPIO3
D19,EXT_GPIO4
D20,EXT_GPIO5
D21,EXT_GPIO6
A4,EXT_GPIO3
A5,EXT_GPIO4
A6,EXT_GPIO5
A7,EXT_GPIO6
