TX,GPIO0
RX,GPIO1
SDA,GPIO4
SCL,GPIO5
GP6,GPIO6
GP7,GPIO7
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP23,GPIO23
GP25,GPIO25
GP26,GPIO26
GP27,GPIO27
NEOPIXEL,GPIO17
NEOPIXEL0,GPIO3
NEOPIXEL1,GPIO2
A0,GPIO40
A1,GPIO41
A2,GPIO42
A3,GPIO43
A4,GPIO44
A5,GPIO45
A6,GPIO46
A7,GPIO47
