AMB_LIGHT,GPIO4
I2C_SCL,GPIO9
I2C_SDA,GPIO8
LDO2_PWR,GPIO39
LED_BLUE,GPIO13
SPI_MOSI,GPIO35
SPI_SCK,GPIO36
SPI_MISO,GPIO37
RGB_DATA,GPIO40
RGB_PWR,GPIO39
RGB_MATRIX_DATA,GPIO16
RGB_MATRIX_PWR,GPIO39
UART0_TX,GPIO43
UART0_RX,GPIO44
VBAT_SENSE,GPIO2
VBUS_SENSE,GPIO15
